timestamp,lat,lon,alt_msl,heading_deg,speed_mps
0.000,60.56274504,90.37800000,1500.250,0.000,0.000
0.200,60.56275163,90.37803755,1500.250,70.382,10.932
0.400,60.56275822,90.37807510,1500.250,70.383,10.932
0.600,60.56276481,90.37811264,1500.250,70.383,10.932
0.800,60.56277139,90.37815019,1500.250,70.384,10.931
1.000,60.56277798,90.37818773,1500.250,70.385,10.931
1.200,60.56278457,90.37822528,1500.251,70.385,10.930
1.400,60.56279115,90.37826282,1500.251,70.385,10.930
1.600,60.56279774,90.37830035,1500.251,70.385,10.929
1.800,60.56280432,90.37833789,1500.251,70.385,10.928
2.000,60.56281091,90.37837542,1500.251,70.385,10.927
2.200,60.56281749,90.37841295,1500.251,70.385,10.926
2.400,60.56282407,90.37845048,1500.251,70.384,10.925
2.600,60.56283066,90.37848800,1500.251,70.383,10.924
2.800,60.56283724,90.37852552,1500.251,70.382,10.923
3.000,60.56284382,90.37856303,1500.251,70.381,10.922
3.200,60.56285040,90.37860054,1500.251,70.380,10.920
3.400,60.56285699,90.37863804,1500.252,70.379,10.919
3.600,60.56286357,90.37867553,1500.252,70.377,10.917
3.800,60.56287015,90.37871302,1500.252,70.375,10.916
4.000,60.56287673,90.37875051,1500.252,70.373,10.914
4.200,60.56288331,90.37878798,1500.252,70.371,10.912
4.400,60.56288989,90.37882545,1500.252,70.369,10.910
4.600,60.56289646,90.37886292,1500.252,70.367,10.908
4.800,60.56290304,90.37890037,1500.252,70.364,10.906
5.000,60.56290962,90.37893782,1500.252,70.362,10.904
5.200,60.56291620,90.37897525,1500.252,70.359,10.901
5.400,60.56292278,90.37901268,1500.252,70.356,10.899
5.600,60.56292935,90.37905010,1500.253,70.353,10.897
5.800,60.56293593,90.37908751,1500.253,70.349,10.894
6.000,60.56294250,90.37912491,1500.253,70.346,10.891
6.200,60.56294908,90.37916230,1500.253,70.342,10.889
6.400,60.56295565,90.37919968,1500.253,70.338,10.886
6.600,60.56296223,90.37923705,1500.253,70.334,10.883
6.800,60.56296880,90.37927441,1500.253,70.330,10.880
7.000,60.56297537,90.37931175,1500.253,70.326,10.877
7.200,60.56298195,90.37934909,1500.253,70.321,10.874
7.400,60.56298852,90.37938641,1500.253,70.317,10.871
7.600,60.56299509,90.37942372,1500.253,70.312,10.867
